Transaction ID,Company Name,Account Number,As of Date,Currency,Primary Account Info,Secondary Account Info,GL Balance,IHub Balance,Balance Difference
3043834,Global Finance Corp,2623476070,2025-03-07,EUR,Primary Info 0,Secondary Info 0,187550.35,432920.42,-245370.07
2526228,Global Finance Corp,2623476070,2025-03-27,JPY,Primary Info 1,Secondary Info 1,469709.63,312928.46,156781.17
1933628,Global Finance Corp,2623476070,2025-03-04,AUD,Primary Info 2,Secondary Info 2,296220.92,27944.62,268276.3
1898151,Global Finance Corp,2623476070,2025-03-06,JPY,Primary Info 3,Secondary Info 3,105224.34,377022.52,-271798.18
2953832,Global Finance Corp,2623476070,2025-03-12,GBP,Primary Info 4,Secondary Info 4,265819.66,239981.87,25837.79
2058440,Global Finance Corp,2623476070,2025-03-04,CAD,Primary Info 5,Secondary Info 5,138051.54,459358.48,-321306.94
2586883,Global Finance Corp,2623476070,2025-03-17,USD,Primary Info 6,Secondary Info 6,379258.48,128624.86,250633.62
6761082,Global Finance Corp,2623476070,2025-03-24,JPY,Primary Info 7,Secondary Info 7,44647.36,103608.31,-58960.95
1064772,Global Finance Corp,2623476070,2025-03-28,GBP,Primary Info 8,Secondary Info 8,161109.82,169734.72,-8624.9
4600373,Global Finance Corp,2623476070,2025-03-20,AUD,Primary Info 9,Secondary Info 9,279835.97,483767.38,-203931.41
2250147,Global Finance Corp,2623476070,2025-03-15,JPY,Primary Info 10,Secondary Info 10,168115.86,325763.94,-157648.08
1409215,Global Finance Corp,2623476070,2025-03-07,GBP,Primary Info 11,Secondary Info 11,45845.9,489653.76,-443807.86
2082692,Global Finance Corp,2623476070,2025-03-15,AUD,Primary Info 12,Secondary Info 12,260121.73,193266.67,66855.06
2560174,Global Finance Corp,2623476070,2025-03-16,JPY,Primary Info 13,Secondary Info 13,185722.63,143077.31,42645.32
3056697,Global Finance Corp,2623476070,2025-03-22,USD,Primary Info 14,Secondary Info 14,469153.55,91852.56,377300.99
2021731,Global Finance Corp,2623476070,2025-03-06,EUR,Primary Info 15,Secondary Info 15,209295.37,52628.58,156666.79
1355338,Global Finance Corp,2623476070,2025-03-05,EUR,Primary Info 16,Secondary Info 16,397023.56,218922.16,178101.4
1288061,Global Finance Corp,2623476070,2025-03-17,USD,Primary Info 17,Secondary Info 17,402894.15,70887.79,332006.36
3040790,Global Finance Corp,2623476070,2025-03-02,AUD,Primary Info 18,Secondary Info 18,418668.44,428546.34,-9877.9
2616858,Global Finance Corp,2623476070,2025-03-17,USD,Primary Info 19,Secondary Info 19,204407.42,335202.29,-130794.87
3295998,Global Finance Corp,2623476070,2025-03-05,USD,Primary Info 20,Secondary Info 20,366481.66,259492.0,106989.66
2545443,Global Finance Corp,2623476070,2025-03-22,EUR,Primary Info 21,Secondary Info 21,478050.29,399055.78,78994.51
2848980,Global Finance Corp,2623476070,2025-03-27,GBP,Primary Info 22,Secondary Info 22,197432.09,384871.19,-187439.1
3175919,Global Finance Corp,2623476070,2025-03-08,CAD,Primary Info 23,Secondary Info 23,57242.81,142483.74,-85240.93
3860823,Global Finance Corp,2623476070,2025-03-22,CAD,Primary Info 24,Secondary Info 24,77682.62,4074.35,73608.27
1991777,Global Finance Corp,2623476070,2025-03-01,AUD,Primary Info 25,Secondary Info 25,28216.9,31601.88,-3384.98
6518751,Global Finance Corp,2623476070,2025-03-11,CAD,Primary Info 26,Secondary Info 26,218558.75,477704.87,-259146.12
